,REFCODE,Habit,Solvent,SMILES
5540,CUPDEW,prism,diethyl ether,CC1(C)CC(=O)CC(C)(C1)C1(C)CC(=O)CC(C)(C)C1
5553,CUQKII,prism,diethyl ether,Cc1ccc(cc1)N=C1OCC2CCCN2C1=Nc1ccc(C)cc1
5554,CUQKOO,block,diethyl ether,COc1ccc(cc1)N=C1OCC2CCCN2C1=Nc1ccc(OC)cc1
5556,CUQNAD,prism,ethanol,CCN(CC)C(=S)N=C(NCCN(CCNC(=NC(=S)N(CC)CC)c1ccccc1)CCNC(=NC(=S)N(CC)CC)c1ccccc1)c1ccccc1
5557,CUQNEH,prism,diethyl ether,CCN(CC)C(=S)N=C(OCCN(CCOC(=NC(=S)N(CC)CC)c1ccccc1)CCOC(=NC(=S)N(CC)CC)c1ccccc1)c1ccccc1
5558,CUQPEJ01,block,benzene,CC=C1C(O)C2OC(=O)N3CCCC1C23
5561,CUQTEN,block,ethyl acetate,CCOC(=O)C1=NOC(=C1C(C)=NNS(=O)(=O)c1ccc(C)cc1)C
5563,CUQTOX,block,ethyl acetate,CCOC(=O)C1=NOC(=C1C(C)=NNc1ccc(cc1N(=O)=O)N(=O)=O)C
5564,CUQTUD,needle,methanol,CC(=O)OCC1OC(C=CC1OC(C)=O)C1C(OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O)OC(C)=O
5567,CUQXOB,block,ethanol,C[Si](C)(C)O[Si](O)(C(c1ccc(cc1)C(F)(F)F)([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C
5571,CURRAK,needle,acetonitrile,CCOC(=O)CN1C=C(CO)N=N1
5572,CUSJEF,plate,toluene,CC1=C(C)C(C)(P(Cl)C2(C)C(=C(C)C(=C2C)C)C)C(=C1C)C
5574,CUSLEJ,needle,methanol,COC(CC1CCCCCCC1OCc1ccccc1)CC1C2=C(CC(C)(C)CC2=O)OC2=C1C(=O)CC(C)(C)C2
5587,CUTMIN,prism,pentane,COC(=O)C1=C(C(=O)OC)P(=S)(N=C1c1ccccc1)C([Si](C)(C)C)[Si](C)(C)C
5588,CUTMOT,prism,pentane,CC(C)N(C(C)C)C1=PC(=[N+](C(C)C)C(C)C)P1(=S)[S-]
5591,CUTWAQ,prism,ethanol,CC1(C)C2(C)CCC1(OC2=O)C(=O)OC1C2OC3OC(C2O)C(O)C1O3
5593,CUVMOX,plate,diethyl ether,COC(=O)c1c(O)ccc2C3C=CC4CCCC(=O)C4C3CCc12
5599,CUWKOU01,prism,ethyl acetate,CC(C)(NC(=O)OCC1c2ccccc2c2ccccc12)C(O)=O
5605,CUXCON,needle,diethyl ether,BrI[As](c1ccccc1)(c1ccccc1)c1ccccc1
5612,CUYMAK,prism,ethanol,COC(=O)C1CCC(=O)N1C(c1ccc(OC)cc1)c1cc(OC)c(OC)c(OC)c1
5613,CUYPOB,prism,ethanol,COc1cc(cc(OC)c1OC)C1N2C(CCC2=O)c2cccc3cccc1c23
5614,CUYQAO,prism,ethanol,COc1cc(cc(OC)c1OC)C1N2C(CCC2=O)C(=O)c2ccc3ccccc3c12
5615,CUYQUI01,plate,methanol,OCC1OC(C(O)C1O)c1ccc(F)cc1
5617,CUZKUD01,prism,benzene,Brc1ccc(cc1)C(=O)c1ccc(Br)cc1
5623,CUZQAP,prism,ethanol,Cc1ccc(cc1)C1=NN2C(=NN=C2C2=CC=CO2)SC1
5624,CUZQET,prism,ethanol,C1SC2=NN=C(N2N=C1c1ccccc1)C1=CC=CO1
5625,CUZQOE,block,ethanol,CCOC(=O)C1=C(C)C(=C(N)S1)C(=O)OCC
5626,CUZRAQ,plate,ethanol,COc1ccc(cc1)C=[N+]([O-])c1ccc(cc1)C#N
5630,CUZWEZ,prism,ethanol,CN(C)Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
5634,CUZZON,plate,ethanol,CC(N=Cc1cc2CCc3ccc(CCc1cc2)cc3)c1ccccc1
5635,CUZZUS,needle,acetonitrile,Clc1ccc(cc1N(=O)=O)C(=O)Nc1ccc(cc1N(=O)=O)C#N
5638,CYPYRO01,block,acetonitrile,[O]n1ccc(cc1)C#N
5639,CYTIDI11,plate,ethanol,NC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1O
5640,CYTOCH11,block,diethyl ether,CC1CC=CC2C(O)C(=C)C(C)C3C(Cc4ccccc4)NC(=O)C23C(OC(C)=O)C=CC(C)(O)C1
5652,DABKOI,plate,acetonitrile,CC1=CC(=O)N2C(=[N+](N=C2[N-]1)c1ccccc1)N
5653,DABKUO,needle,acetonitrile,Cc1ccc(CC2=C(C)N=C3N(N=C(N)N3C2=O)c2ccccc2)cc1
5654,DABLEZ,prism,ethyl acetate,CCCOc1c(C=C(c2ccccc2)c2ccccc2)cc2c3ccccc3N(CCC)c2c1C=C(c1ccccc1)c1ccccc1
5656,DABLUO,block,diethyl ether,CC(=O)CCC1(C)C(=O)CCC2C1=CCCC2(C)CO
5667,DABYOV,prism,ethanol,C[Si](C)(C)CC(O)(C(=O)OC1CCCCC1c1ccccc1)c1ccc(F)cc1
5670,DABZIQ,prism,water,CC(C)CC(NS(=O)(=O)c1ccc(C)cc1)C(=O)Nc1ccccc1O
5671,DABZOW,prism,water,Cc1ccc(cc1)S(=O)(=O)NC(Cc1ccccc1)C(=O)Nc1ccccc1O
5672,DABZUC,prism,acetone,OC12CCNC(=O)c3ccccc3N1C(=O)c1ccccc21
5673,DACGIY,needle,methanol,CC(=O)c1cc(Cl)cc(Cl)c1O
5674,DACGOE,plate,methanol,CC(=O)c1cc(Cl)ccc1O
