,REFCODE,Habit,Solvent,SMILES
19042,KAGXOI,block,ethanol,CC(=O)C=C1CC(=O)Nc2cc(Cl)c(Cl)cc2N1
19043,KAHDAB,parallelepiped,ethyl acetate/hexanes,Cc1ccc(cc1)S(=O)(=O)N=S(C)N1C2C(Cc3ccccc23)OC1=O
19044,KAHFEF,block,ether/hexane,CC(C(O)c1ccc(F)cc1)N1CCC(CC1)Cc1ccccc1
19045,KAHFEH,needle,methanol,CC=Cc1ccc2OC(=C(C=O)c2c1O)c1ccc(O)c(O)c1
19046,KAHFOR,prism,chloroform,CCCCCCC1OC2CC1OC1=C2C(=O)C(O)CC1
19047,KAHGIK,block,dichloromethane/hexane,CC1=C(Nc2ccccc12)C(C1=C(C)c2ccccc2N1)C1=C(C)c2ccccc2N1
19048,KAHHIN,block,methanol,CC(C)(O)C1CCC2(C)C(O)CC(O)C(C)(O)C2C1
19049,KAHJOU,needle,dichloromethane/pentane,COC(=O)CCC1(CCC(=O)OC)c2ccccc2C(c2ccccc12)=C1c2ccccc2Sc2ccccc12
19050,KAHPAL,prism,ethanol,Oc1cccc(C=NNC(=O)c2ccccc2)c1O
19051,KAHPEP,block,ethanol,Oc1cccc(C=NNC(=O)c2cccs2)c1O
19052,KAHPIT,parallelepiped,ethanol,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
19053,KAHPUF,prism,methanol/ethyl acetate,COC12CCCCC1OC(=O)C(=C)C2
19054,KAHRUJ,block,ethyl acetate/petroleum ether,CCC(=O)N1c2ccccc2c2cc(C)c(c3ccccc3)c(c12)N(=O)=O
19055,KAHSEU01,plate,cyclohexane,c1ccc(nc1)C1234[BH]567[BH]89%10[BH]%11%12%13[BH]%1458[BH]58%11[BH]%11%15%12[BH]%129%13[BH]16%10[BH]2%11%12C35%15(c1ccccn1)[BH]47%148
19056,KAHTUJ,plate,water,Cc1cccc2NC(=O)N(C3OC(CO)C(O)C3O)c12
19057,KAHTUK01,needle,acetonitrile/dichloromethane,C1CN2CCN=Cc3cccc(c3)C3NCCN3CCN=Cc3cccc(c3)C2N1
19058,KAHWAS01,plate,acetone,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
19059,KAHYIC,prismatic,ethyl acetate/hexane,CC1=C2C(O)C(O)C3(C)C(O)CC4OCC4(O)C3C(OC(=O)c3ccccc3)C(CC1O)C2(C)C
19060,KAJCIJ,block,chloroform,Cc1cc(C)c2C(=O)c3cc4N5CCCCCCCCCCCCN(c3cc4C(=O)c3c(C)cc(C)cc53)c2c1
19061,KAJDEF,plate,ethanol,OCCN1CCN(CC1)C(=O)CN1C(=O)NC(=Cc2ccccc2)C1=O
19062,KAJFAD01,plate,water/ethanol,CCNc1cc(cc[n+]1[O-])N(=O)=O
19063,KAJGIL,plate,aqueous THF,OB12N3=C4N=C5c6ccccc6C(=N15)N=C1c5ccccc5C(=N21)N=C3c1ccccc41
19064,KAJHOV,plate,acetone,CCC(Cl)(Cl)C(CC(=O)c1ccc(OC)cc1)NC(C)(C)C
